Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
"1H-1,2,4-Triazole ",68498,68498LCM60,ng/L,11,22,9030,116421-29-5,69.1,C2H3N3,Degradate,conazole,fungicide,Propiconazole,E,Yes,,[nH]1cncn1
2-(1-hydroxyethyl)-6-methylaniline (HEMA),68611,68611LCM60,ng/L,47,94,9030,196611-19-5,151.2,C9H13NO,Degradate,chloroacetanilide,acetanilide & amide,Acetochlor/Metolachlor,E,Yes,,CC1=CC=CC(C(C)O)=C1N
2-(2-ethyl-6-methyl-phenyl)aminopropan-1-ol,68595,68595LCM60,ng/L,2,5,9030,61520-53-4,193.3,C12H19NO,Degradate,chloroacetanilide,acetanilide & amide,Metolachlor,A,No,,CC(NC1=C(C)C=CC=C1CC)CO
2-Amino-N-isopropylbenzamide,68503,68503LCM60,ng/L,2,4,9030,30391-89-0,178.2,C10H14N2O,Degradate,"n-heterocycle, thiadiazine degradate",acid,Bentazone,A,No,,CC(C)NC(=O)c1ccccc1N
2-Aminobenzimidazole,68502,68502LCM60,ng/L,4,9,9030,934-32-7,133.2,C7H7N3,Degradate,benzimidazole,fungicide,Benomyl,A,Yes,,Nc1[nH]c2ccccc2n1
"2-Chloro-2,6-diethylacetanilide",68525,68525LCM60,ng/L,2,5,9030,6967-29-9,225.7,C12H16ClNO,Degradate,acetanilide degradate,acetanilide & amide,Alachlor,A,No,,CCc1cccc(CC)c1NC(=O)CCl
2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide,68521,68521LCM60,ng/L,2,5,9030,32428-71-0,211.7,C11H14ClNO,Degradate,chloroacetanilide degradate,acetanilide & amide,Acetochlor/Metolachlor,A,No,,O=C(Nc1c(cccc1CC)C)CCl
2-Hydroxy-4-isopropylamino-6-amino-s-triazine,68659,68659LCM60,ng/L,2,4,9030,19988-24-0,169.2,C6H11N5O,Degradate,triazine,triazine,Atrazine,A,No,,O=C\1/N=C(/N)NC(=N/1)/NC(C)C
2-Hydroxy-6-ethylamino-4-amino-s-triazine,68656,68656LCM60,ng/L,3,6,9030,7313-54-4,155.2,C5H9N5O,Degradate,triazine,triazine,Atrazine,A,No,,CCNC1=NC(=O)N=C(N)N1
2-Hydroxyatrazine,68660,68660LCM60,ng/L,4,8,9030,2163-68-0,197.2,C8H15N5O,Degradate,triazine,triazine,Atrazine,A,No,,CCNC1=NC(=O)N=C(NC(C)C)N1
"2,3,3-trichloroprop-2-ene-1-SA",68691,68691LCM60,ng/L,27,54,9031,65600-62-6,225.5,C3H3Cl3O3S,Degradate,sulfonic acid ester,carbamate & thiocarbamate,Triallate,A,Yes,,Cl/C(CS(=O)(O)=O)=C(Cl)/Cl
"2,4-D",68500,68500LCM60,ng/L,31,62,9031,94-75-7,221,C8H6Cl2O3,Pesticide,chlorophenoxy acid,acid,"2,4-D",A,No,,OC(COc1c(Cl)cc(Cl)cc1)=O
3-Hydroxycarbofuran,68508,68508LCM60,ng/L,8,16,9030,16655-82-6,237.3,C12H15NO4,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,E,No,,O=C(NC)Oc1c(OC(C)(C)C2O)c2ccc1
3-Ketocarbofuran,68509,68509LCM60,ng/L,88,176,9030,16709-30-1,235.2,C12H13NO4,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,D,No,,O=C(NC)Oc1c(OC(C)(C)C2=O)c2ccc1
3-Phenoxybenzoic acid,68873,68873LCM60,ng/L,30,61,9031,3739-38-6,213.2,C13H9O3-,Degradate,benzoic acid,pyrethroid & phenylpyrazine,Permethrin,A,Yes,,OC(c1cc(Oc2ccccc2)ccc1)=O
"3,4-Dichlorophenylurea",68226,68226LCM60,ng/L,72,144,9030, 2327-02-8,205,C7H6Cl2N2O,Degradate,urea,sulfonylurea & urea,Diuron,A,No,,NC(=O)Nc1ccc(Cl)c(Cl)c1
4-(Hydroxymethyl)pendimethalin,68511,68511LCM60,ng/L,106,213,9031,56750-76-6,297.3,C13H19N3O5,Degradate,dinitroaniline,miscellaneous,Pendimethalin,A,No,,CCC(Nc1c([N+]([O-])=O)c(C)c(CO)cc1[N+]([O-])=O)CC
4-Chlorobenzylmethyl sulfoxide,68514,68514LCM60,ng/L,2,4,9030,-,188.7,C8H9ClOS,Degradate,thiocarbamate,carbamate & thiocarbamate,thiobencarb,A,Yes,,CS(Cc1ccc(Cl)cc1)=O
4-Hydroxy molinate,68515,68515LCM60,ng/L,3,7,9030,66747-12-4,203.3,C9H17NO2S,Degradate,thiocarbamate,carbamate & thiocarbamate,Molinate,A,Yes,,O=C(N1CCCC(CC1)O)SCC
4-Hydroxy-tert-fluometuron,68619,68619LCM60,ng/L,10,20,9030,cga236431,220.1,C8H7F3N2O2,Degradate,urea,sulfonylurea & urea,Fluometuron,A,Yes,,NC(Nc1cc(C(F)(F)F)c(O)cc1)=O
4-Hydroxychlorothalonil,68336,68336LCM60,ng/L,49,98,9031,28343-61-5,245.9,C8HCl3N2O,Degradate,polychlorinated aromatic degradate,fungicide,Chlorothalonil,A,No,,Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
4-Hydroxyhexazinone A,68517,68517LCM60,ng/L,1,3,9030,72576-13-7,268.3,C12H20N4O3,Degradate,triazine-dione,triazine,Hexazinone,A,Yes,,CN(C)C1=NC(=O)N(C2CCC(O)CC2)C(=O)N1C
7-Hydroxycarbofuran,68518,68518LCM60,ng/L,250,500,9030,1563-38-8,164.2,C10H12O2,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,D,No,,Oc1c(OC(C)(C)C2)c2ccc1
Acephate,68519,68519LCM60,ng/L,5,10,9030,30560-19-1,183.2,C4H10NO3PS,Pesticide,organophosphate,organophosphate,Acephate,A,Yes,,COP(NC(C)=O)(SC)=O
Acetochlor,68520,68520LCM60,ng/L,5,10,9030,34256-82-1,269.8,C14H20ClNO2,Pesticide,chloroacetanilide,acetanilide & amide,Acetochlor,A,No,,CCOCN(C(=O)CCl)c1c(C)cccc1CC
Acetochlor OA,68522,68522LCM60,ng/L,45,90,9031,194992-44-4,265.3,C14H19NO4,Degradate,acetanilide degradate - oxanilic acid,acetanilide & amide,Acetochlor,A,No,,O=C(N(C1=C(CC)C=CC=C1C)COCC)C(O)=O
Acetochlor SA,68523,68523LCM60,ng/L,50,100,9031,187022-11-3,315.4,C14H21NO5S,Degradate,acetanilide degradate - sulfonic acid,acetanilide & amide,Acetochlor,A,No,,O=S(CC(N(C1=C(CC)C=CC=C1C)COCC)=O)(O)=O
Acetochlor SAA,68524,68524LCM60,ng/L,88,176,9031,-,341.4,C16H23NO5S,Degradate,acetanilide degradate - sulfynilacetic acid,acetanilide & amide,Acetochlor,A,No,,O=C(CS(C(O)=O)=O)N(c1c(CC)cccc1C)COCC
Alachlor,65064,65064LCM60,ng/L,4,9,9030,15972-60-8,269.8,C14H20ClNO2,Pesticide,chloroacetanilide,acetanilide & amide,Alachlor,A,No,,CCc1cccc(CC)c1N(COC)C(=O)CCl
Alachlor OA,68526,68526LCM60,ng/L,42,84,9031,171262-17-2,265.3,C14H19NO4,Degradate,acetanilide degradate - oxanilic acid,acetanilide & amide,Alachlor,A,No,,O=C(N(C1=C(CC)C=CC=C1CC)COC)C(O)=O
Alachlor SA,68871,68871LCM60,ng/L,100,200,9031,142363-53-9,315.4,C14H21NO5S,Degradate,acetanilide degradate - sulfonic acid,acetanilide & amide,Alachlor,A,No,,CCc1cccc(CC)c1N(COC)C(=O)C[S](O)(=O)=O
Alachlor SAA,68527,68527LCM60,ng/L,84,169,9031,494847-34-1,341.1,C16H23NO5S,Degradate,chloroacetanilide degradate,acetanilide & amide,Alachlor,A,No,,CCC1=CC=CC(CC)=C1N(C(CS(CC(O)=O)=O)=O)COC
Aldicarb,68528,68528LCM60,ng/L,4,8,9030,116-06-3,190.3,C7H14N2O2S,Pesticide,carbamate,carbamate & thiocarbamate,Aldicarb,A,No,,CNC(=O)O\N=C\C(C)(C)SC
Aldicarb sulfone,68529,68529LCM60,ng/L,10,20,9030,1646-88-4,222.3,C7H14N2O4S,Degradate,carbamate degradate - sulfone,carbamate & thiocarbamate,Aldicarb,A,No,,CC([S](=O)(=O)C)(/C=N/OC(=O)NC)C
Aldicarb sulfoxide,68530,68530LCM60,ng/L,1,3,9030,1646-87-3,206.3,C7H14N2O3S,Degradate,carbamate degradate - sulfoxide,carbamate & thiocarbamate,Aldicarb,A,No,,CC([S](=O)C)(/C=N/OC(=O)NC)C
Ametryn,68533,68533LCM60,ng/L,1,3,9030,834-12-8,227.3,C9H17N5S,Pesticide,triazine,triazine,Ametryn,A,No,,CCNc1nc(SC)nc(NC(C)C)n1
Aminopyralid,68534,68534LCM60,ng/L,250,500,9030,150114-71-9,207,C6H4Cl2N2O2,Pesticide,miscellaneous,miscellaneous,Aminopyralid,D,Yes,,Clc1c(nc(Cl)cc1N)C(=O)O
Ammelide,68535,68535LCM60,ng/L,37,75,9031,645-93-2,128.1,C3H4N4O2,Degradate,triazine,triazine,Atrazine,D,Yes,,NC1=NC(=O)NC(=O)N1
Asulam,68536,68536LCM60,ng/L,14,28,9030,3337-71-1,230.2,C8H10N2O4S,Pesticide,carbamate,carbamate & thiocarbamate,Asulam,E,Yes,,C1=C(C=CC(=C1)N)[S](=O)(NC(=O)OC)=O
Atrazine,65065,65065LCM60,ng/L,2,5,9030,1912-24-9,215.7,C8H14ClN5,Pesticide,triazine,triazine,Atrazine,A,No,,CCNc1nc(Cl)nc(NC(C)C)n1
Azinphos-methyl,65066,65066LCM60,ng/L,4,8,9030,86-50-0,317.3,C10H12N3O3PS2,Pesticide,organophosphate,organophosphate,Azinphos-methyl,A,No,,COP(OC)(SCN1N=Nc2c(C1=O)cccc2)=S
Azinphos-methyl oxon,68211,68211LCM60,ng/L,7,15,9030,961-22-8,301.3,C10H12N3O4PS,Degradate,organothiophosphate,organophosphate,Azinphos-methyl ,A,No,,COP(OC)(SCN1N=Nc2c(C1=O)cccc2)=O
Azoxystrobin,66589,66589LCM60,ng/L,1,3,9030,131860-33-8,403.4,C22H17N3O5,Pesticide,strobin,fungicide,Azoxystrobin,A,No,,CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2
Bentazon,68538,68538LCM60,ng/L,5,10,9031,25057-89-0,240.3,C10H12N2O3S,Pesticide,"n-heterocycle, thiadiazine",acid,Bentazone,A,No,,CC(N1C(c2c(NS1(=O)=O)cccc2)=O)C
Bifenazate,68540,68540LCM60,ng/L,5,10,9030,149877-41-8,300.4,C17H20N2O3,Pesticide,miscellaneous,miscellaneous,Bifenazate,D,Yes,,COc1c(NNC(OC(C)C)=O)cc(c2ccccc2)cc1
Bifenazate diazene,68541,68541LCM60,ng/L,2,4,9030,149878-40-0,300.4,C17H20N2O3,Degradate,miscellaneous,miscellaneous,Bifenazate,D,Yes,,COc1c(/N=N/C(OC(C)C)=O)cc(c2ccccc2)cc1
Bifenthrin,65067,65067LCM60,ng/L,9,19,9030,82657-04-3,422.9,C23H22ClF3O2,Pesticide,pyrethroid,pyrethroid & phenylpyrazine,Bifenthrin,E,No,,Cc1c(c2ccccc2)cccc1COC(C3C(C3(C)C)/C=C(C(F)(F)F)\Cl)=O
Bromacil,68542,68542LCM60,ng/L,3,6,9030,314-40-9,261.1,C9H13BrN2O2,Pesticide,uracil,miscellaneous,Bromacil,A,No,,CCC(C)N1C(=O)NC(=C(Br)C1=O)C
Bromoxynil,68543,68543LCM60,ng/L,39,79,9031,1689-84-5,276.9,C7H3Br2NO,Pesticide,"phenol, hydroxybenzonitrile",acid,Bromoxynil,A,No,,Oc1c(Br)cc(C#N)cc1Br
Butralin,68545,68545LCM60,ng/L,2,5,9030,33629-47-9,295.3,C14H21N3O4,Pesticide,dinitroaniline,miscellaneous,Butralin,E,Yes,,CCC(Nc1c([N+]([O-])=O)cc(C(C)(C)C)cc1[N+]([O-])=O)C
Butylate,65068,65068LCM60,ng/L,3,6,9030,2008-41-5,217.4,C11H23NOS,Pesticide,thiocarbamate,carbamate & thiocarbamate,Butylate,A,No,,O=C(N(CC(C)C)CC(C)C)SCC
Carbaryl,65069,65069LCM60,ng/L,3,6,9030,63-25-2,201.2,C12H11NO2,Pesticide,carbamate,carbamate & thiocarbamate,Carbaryl,A,No,,O=C(NC)Oc(ccc1)c2c1cccc2
Carbendazim,68548,68548LCM60,ng/L,1,3,9030,10605-21-7,191.2,C9H9N3O2,Degradate,benzimidazole,fungicide,Benomyl,E,Yes,,COC(=O)Nc1[nH]c2ccccc2n1
Carbofuran,65070,65070LCM60,ng/L,2,4,9030,1563-66-2,221.3,C12H15NO3,Pesticide,carbamate,carbamate & thiocarbamate,Carbofuran,A,No,,O=C(NC)Oc1c(OC(C)(C)C2)c2ccc1
Carboxy molinate,68549,68549LCM60,ng/L,11,22,9030,66747-13-5,217.3,C9H15NO3S,Degradate,thiocarbamate,carbamate & thiocarbamate,Molinate,A,Yes,,O=C(N1CCCCCC1)SCC(O)=[o]
Chlorimuron-ethyl,68872,68872LCM60,ng/L,4,8,9030,90982-32-4,414.8,C15H15ClN4O6S,Pesticide,sulfonylurea,sulfonylurea & urea,Chlorimuron-ethyl,A,No,,CCOC(c1c(S(=O)(NC(Nc2nc(OC)cc(Cl)n2)=O)=O)cccc1)=O
Chlorosulfonamide acid,68551,68551LCM60,ng/L,37,75,9031,130-45-0,239.6,C5H6ClN3O4S,Degradate,sulfonylurea,sulfonylurea & urea,Halosulfuron-methyl,E,Yes,,OC(C1=C(S(=O)(N)=O)N(C)N=C1Cl)=O
Chlorpyrifos,65072,65072LCM60,ng/L,2,4,9030,2921-88-2,350.6,C9H11Cl3NO3PS,Pesticide,organothiophosphate,organophosphate,Chlorpyrifos,A,No,,CCOP(OCC)(Oc1c(Cl)cc(Cl)c(Cl)n1)=S
Chlorpyrifos oxon,68216,68216LCM60,ng/L,2,4,9030,5598-15-2,334.5,C9H11Cl3NO4P,Degradate,organophosphate,organophosphate,Chlorpyrifos,A,No,,CCOP(OCC)(Oc1c(Cl)cc(Cl)c(Cl)n1)=O
Chlorsulfuron,61678,61678LCM60,ng/L,25,50,9030,64902-72-3,357.8,C12H12ClN5O4S,Pesticide,sulfonylurea,sulfonylurea & urea,Chlorsulfuron,A,No,,COc1nc(NC(NS(=O)(c2c(Cl)cccc2)=O)=O)nc(C)n1
cis-Cyhalothric acid,68553,68553LCM60,ng/L,43,86,9031,68127-59-3,242.6,C9H10ClF3O2,Degradate,pyrethroid,pyrethroid & phenylpyrazine,Bifenthrin; lambda-cyhalothrin; Tefluthrin,A,Yes,,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(O)=O
cis-Permethrin,68769,68769LCM60,ng/L,1,2,9030,61949-76-6,391.3,C21H20Cl2O3,Pesticide,pyrethroid,pyrethroid & phenylpyrazine,Permethrin,A,No,,Cl/C(Cl)=C/[C@H]1[C@H](C1(C)C)C(OCc2cc(Oc3ccccc3)ccc2)=O
Cyanazine,66592,66592LCM60,ng/L,8,16,9030,21725-46-2,240.7,C9H13ClN6,Pesticide,triazine,triazine,Cyanazine,A,No,,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
Dacthal monoacid,68560,68560LCM60,ng/L,250,500,9031,887-54-7,317.9,C9H4Cl4O4,Degradate,chlorobenzoic acid ester,acid,Dacthal,E,No,,COC(c1c(Cl)c(Cl)c(C(O)=O)c(Cl)c1Cl)=O
Dechlorofipronil,68561,68561LCM60,ng/L,2,4,9031,-,402.7,C12H5ClF6N4OS,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,Yes,,NC1=C(S(C(F)(F)F)=O)C(C#N)=NN1c2c(Cl)cc(C(F)(F)F)cc2
Dechlorometolachlor,68562,68562LCM60,ng/L,1,2,9030,126605-22-9,249.3,C15H23NO2,Degradate,chloroacetanilide degradate,acetanilide & amide,Metolachlor,A,No,,O=C(C)N(C(C)COC)c1c(CC)cccc1C
Deethylatrazine,68552,68552LCM60,ng/L,5,11,9030,6190-65-4,187.6,C6H10ClN5,Degradate,triazine,triazine,Atrazine,A,No,,CC(C)Nc1nc(N)nc(Cl)n1
Deiodo flubendiamide,68563,68563LCM60,ng/L,2,4,9030,-,556.5,C23H23F7N2O4S,Degradate,miscellaneous,miscellaneous,Flubendiamide,A,Yes,,O=C(c1c(C(NC(C)(CS(=O)(C)=O)C)=O)cccc1)Nc2c(C)cc(C(C(F)(F)F)(C(F)(F)F)F)cc2
Deisopropyl prometryn,68564,68564LCM60,ng/L,1,3,9030,4147-57-3,199.3,C7H13N5S,Degradate,triazine,triazine,Prometryn,A,No,,CSc1nc(N)nc(NC(C)C)n1
Deisopropylatrazine,68550,68550LCM60,ng/L,10,20,9030,1007-28-9,173.6,C5H8ClN5,Degradate,triazine,triazine,Atrazine,A,No,,CCNc1nc(N)nc(Cl)n1
Deisopropyliprodione,68565,68565LCM60,ng/L,250,500,9031, 79076-80-5,288.1,C10H7Cl2N3O3,Degradate,dicarboximide,fungicide,Iprodione,D,Yes,,NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
Demethyl fluometuron,68591,68591LCM60,ng/L,1,2,9030,3032-40-4,218.2,C9H9F3N2O,Degradate,urea,sulfonylurea & urea,Fluometuron,A,No,,CNC(=O)Nc1cccc(c1)C(F)(F)F
Demethyl hexazinone B,68566,68566LCM60,ng/L,1,3,9030,56611-54-2,238.3,C11H18N4O2,Degradate,triazine-dione,triazine,Hexazinone,A,Yes,,CNC1=NC(=O)N(C2CCCCC2)C(=O)N1C
Demethyl norflurazon,68567,68567LCM60,ng/L,2,4,9030,23576-24-1,289.6,C11H7ClF3N3O,Degradate,pyridazinone,miscellaneous,Norflurazon,A,No,,NC1=C(C(N(c2cc(C(F)(F)F)ccc2)N=C1)=O)Cl
Desulfinylfipronil,66607,66607LCM60,ng/L,2,4,9031,205650-65-3,389.1,C12H4Cl2F6N4,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,No,,NC1=C(C(F)(F)F)C(C#N)=NN1C2=C(Cl)C=C(C(F)(F)F)C=C2Cl
Desulfinylfipronil amide,68570,68570LCM60,ng/L,4,9,9031,-,407.1,C12H6Cl2F6N4O,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,No,,NC1=C(C(F)(F)F)C(C(N)=O)=NN1C2=C(Cl)C=C(C(F)(F)F)C=C2Cl
Diazinon,65078,65078LCM60,ng/L,1,3,9030,333-41-5,304.3,C12H21N2O3PS,Pesticide,organothiophosphate,organophosphate,Diazinon,A,No,,CCOP(OCC)(Oc1nc(C(C)C)nc(C)c1)=S
Diazinon oxon,68236,68236LCM60,ng/L,2,4,9030,962-58-3,288.3,C12H21N2O4P,Degradate,organophosphate,organophosphate,Diazinon,E,No,,CCOP(OCC)(Oc1nc(C(C)C)nc(C)c1)=O
Dicamba,68571,68571LCM60,ng/L,250,500,9031,1918-00-9,221,C8H6Cl2O3,Pesticide,chlorobenzoic acid,acid,Dicamba,E,No,,COc1c(C(O)=O)c(Cl)ccc1Cl
Dichlorvos,68572,68572LCM60,ng/L,26,52,9030,62-73-7,221,C4H7Cl2O4P,Degradate,organophosphate,organophosphate,Naled,A,No,,COP(OC)(O/C=C(Cl)/Cl)=O
Dicrotophos,68573,68573LCM60,ng/L,2,4,9030,141-66-2,237.2,C8H16NO5P,Pesticide,organophosphate,organophosphate,Dicrotophos,A,No,,COP(OC)(O/C(C)=C/C(N(C)C)=O)=O
Didealkylatrazine,68547,68547LCM60,ng/L,12,24,9030,3397-62-4,145.6,C3H4ClN5,Degradate,triazine,triazine,Atrazine,A,No,,Nc1nc(N)nc(Cl)n1
Diflubenzuron,68576,68576LCM60,ng/L,3,6,9030,35367-38-5,310.7,C14H9ClF2N2O2,Pesticide,benzoylurea,sulfonylurea & urea,Diflubenzuron,A,Yes,,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
Diflufenzopyr,68577,68577LCM60,ng/L,44,88,9031,109293-97-2,334.3,C15H12F2N4O3,Pesticide,urea; Semicarbazone,sulfonylurea & urea,Diflufenzopyr,A,Yes,,C\C(=N/NC(=O)Nc1cc(F)cc(F)c1)c2ncccc2C(O)=O
Diketonitrile isoxaflutole,68578,68578LCM60,ng/L,31,62,9031,143701-75-1,359.3,C15H12F3NO4S,Degradate,isoxazole degradate,miscellaneous,Isoxaflutole,A,Yes,,O=C(c1c(S(C)(=O)=O)cc(C(F)(F)F)cc1)C(C(C2CC2)=O)C#N
Dimethenamid,68580,68580LCM60,ng/L,1,3,9030,87674-68-8,275.8,C12H18ClNO2S,Pesticide,amide,acetanilide & amide,Dimethenamid,A,No,,COCC(C)N(C(=O)CCl)c1c(C)scc1C
Dimethenamid OA,68581,68581LCM60,ng/L,42,85,9031,-,271.3,C12H17NO4S,Degradate,amide degradate - oxanilic acid,acetanilide & amide,Dimethenamid,A,No,,CC1=CSC(C)=C1N(C(C(O)=O)=O)C(COC)C
Dimethenamid SA,68582,68582LCM60,ng/L,39,79,9031,205939-58-8,321.4,C12H19NO5S2,Degradate,amide degradate - sulfonic acid,acetanilide & amide,Dimethenamid,A,No,,CC1=CSC(C)=C1N(C(CS(=O)(O)=O)=O)C(COC)C
Dimethenamid SAA,68583,68583LCM60,ng/L,94,189,9031,-,347.5,C14H21NO5S2,Degradate,amide,acetanilide & amide,Dimethenamid,A,Yes,,CC1=CSC(C)=C1N(C(CS(CC(O)=O)=O)=O)C(COC)C
Dimethoate,66596,66596LCM60,ng/L,1,3,9030,60-51-5,229.3,C5H12NO3PS2,Pesticide,organothiophosphate,organophosphate,Dimethoate,A,No,,CNC(CSP(OC)(OC)=S)=O
Dimethoate oxon,68661,68661LCM60,ng/L,1,2,9030,1113-02-6,213.2,C5H12NO4PS,Degradate,organothiophosphate,organophosphate,Dimethoate,A,Yes,,O=C(CSP(OC)(OC)=O)NC
Disulfoton,67595,67595LCM60,ng/L,6,13,9030,298-04-4,274.4,C8H19O2PS3,Pesticide,organothiophosphate,organophosphate,Disulfoton,A,No,,S=P(OCC)(SCCSCC)OCC
Disulfoton oxon,68586,68586LCM60,ng/L,1,2,9030,126-75-0,258.3,C8H19O3PS2,Degradate,organothiophosphate,organophosphate,Disulfoton,A,Yes,,O=P(OCC)(SCCSCC)OCC
Disulfoton oxon sulfone,68588,68588LCM60,ng/L,3,7,9030,2496-91-5,290.3,C8H19O5PS2,Degradate,organothiophosphate,organophosphate,Disulfoton,A,Yes,,O=P(OCC)(SCCS(CC)(=O)=O)OCC
Disulfoton oxon sulfoxide,68587,68587LCM60,ng/L,3,7,9030,2496-92-6,274.3,C8H19O4PS2,Degradate,organothiophosphate,organophosphate,Disulfoton,A,Yes,,O=P(OCC)(SCCS(CC)=O)OCC
Disulfoton sulfone,68589,68589LCM60,ng/L,4,9,9030,2497-06-5,306.4,C8H19O4PS3,Degradate,organothiophosphate,organophosphate,Disulfoton,A,No,,CCOP(OCC)(SCCS(=O)(CC)=O)=S
Disulfoton sulfoxide,68590,68590LCM60,ng/L,2,4,9030,2497-07-6,290.4,C8H19O3PS3,Degradate,organothiophosphate,organophosphate,Disulfoton,A,No,,CCOP(OCC)(SCCS(CC)=O)=S
Diuron,66598,66598LCM60,ng/L,2,5,9030,330-54-1,233.1,C9H10Cl2N2O,Pesticide,urea,sulfonylurea & urea,Diuron,A,No,,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
EPTC,65080,65080LCM60,ng/L,103,206,9030,759-94-4,189.3,C9H19NOS,Pesticide,thiocarbamate,carbamate & thiocarbamate,EPTC,A,No,,CCCN(C(SCC)=O)CCC
EPTC R248722,68594,68594LCM60,ng/L,2,4,9030,-,205.3,C9H19NO2S,Degradate,thiocarbamate,carbamate & thiocarbamate,EPTC,A,Yes,,CCCN(C(SCC)=O)C(O)CC
Ethoprop,68596,68596LCM60,ng/L,2,5,9030,13194-48-4,242.3,C8H19O2PS2,Pesticide,organothiophosphate,organophosphate,Ethoprop,A,No,,CCCSP(OCC)(SCCC)=O
Etoxazole,68598,68598LCM60,ng/L,1,2,9030,153233-91-1,359.4,C21H23F2NO2,Pesticide,diphenyl oxazoline ,miscellaneous,Etoxazole,A,Yes,,CCOc1cc(ccc1C2COC(=N2)c3c(F)cccc3F)C(C)(C)C
Famoxadone,67609,67609LCM60,ng/L,30,60,9030,131807-57-3,374.4,C22H18N2O4,Pesticide,oxazolidinedione ,fungicide,Famoxadone,E,No,,CC1(OC(=O)N(Nc2ccccc2)C1=O)c3ccc(Oc4ccccc4)cc3
Fenamiphos,68599,68599LCM60,ng/L,1,2,9030,22224-92-6,303.4,C13H22NO3PS,Pesticide,organophosphate,organophosphate,Fenamiphos,A,No,,CCOP(NC(C)C)(Oc1cc(C)c(SC)cc1)=O
Fenamiphos sulfone,68600,68600LCM60,ng/L,2,5,9030,31972-44-8,335.4,C13H22NO5PS,Degradate,organophosphate,organophosphate,Fenamiphos,A,No,,CCOP(NC(C)C)(Oc1cc(C)c(S(C)(=O)=O)cc1)=O
Fenamiphos sulfoxide,68601,68601LCM60,ng/L,2,5,9030,31972-43-7,319.4,C13H22NO4PS,Degradate,organophosphate,organophosphate,Fenamiphos,A,No,,CCOP(NC(C)C)(Oc1cc(C)c(S(C)=O)cc1)=O
Fenbutatin oxide,68602,68602LCM60,ng/L,10,20,9030,13356-08-6,1052.7,C60H78OSn2,Pesticide,organotin,miscellaneous,Fenbutatin oxide,E,Yes,,O(|[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c2ccccc2)CC(C)(C)c3ccccc3)|[Sn](CC(C)(C)c4ccccc4)(CC(C)(C)c5ccccc5)CC(C)(C)c6ccccc6
Fentin,68603,68603LCM60,ng/L,8,16,9030,668-34-8,350,C18H15Sn,Pesticide,organotin,fungicide,Fentin,A,Yes,,O|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3
Fipronil,66604,66604LCM60,ng/L,2,4,9031,120068-37-3,437.1,C12H4Cl2F6N4OS,Pesticide,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,No,,C1=C(C(F)(F)F)C=C(C(=C1Cl)[N]2C(=C([S](C(F)(F)F)=O)C(=N2)C#N)N)Cl
Fipronil amide,68604,68604LCM60,ng/L,4,9,9031,-,455.2,C12H6Cl2F6N4O2S,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,Yes,,FC(F)(F)S(=O)c2c(nn(c1c(Cl)cc(cc1Cl)C(F)(F)F)c2N)C(=O)N
Fipronil sulfide,66610,66610LCM60,ng/L,2,4,9031,120067-83-6,421.1,C12H4Cl2F6N4S,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,No,,NC1=C(SC(F)(F)F)C(C#N)=NN1C2=C(Cl)C=C(C(F)(F)F)C=C2Cl
Fipronil sulfonate,68605,68605LCM60,ng/L,48,96,9031,209248-72-6,401.1,C11H4Cl2F3N4O3S,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,Yes,,NC1=C(S(=O)(O)=O)C(C#N)=NN1c2c(Cl)cc(C(F)(F)F)cc2Cl
Fipronil sulfone,66613,66613LCM60,ng/L,2,4,9031,120068-36-2,453.1,C12H4Cl2F6N4O2S,Degradate,phenylpyrazole,pyrethroid & phenylpyrazine,Fipronil,A,No,,NC1=C(S(=O)(C(F)(F)F)=O)C(C#N)=NN1c2c(Cl)cc(C(F)(F)F)cc2Cl
