Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
Tebufenozide,68692,68692LCM60,ng/L,1,2,9030,112410-23-8,352.5,C22H28N2O2,Pesticide,diacylhydrazine,miscellaneous,Tebufenozide,A,Yes,,CCc1ccc(cc1)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C
Tebupirimfos,68693,68693LCM60,ng/L,1,2,9030,96182-53-5,318.4,C13H23N2O3PS,Pesticide,organothiophosphate,organophosphate,Tebupirimfos,A,No,,CCOP(OC(C)C)(Oc1cnc(C(C)(C)C)nc1)=S
Tebupirimfos oxon,68694,68694LCM60,ng/L,1,2,9030,-,302.3,C13H23N2O4P,Degradate,organophosphate,organophosphate,Tebupirimfos,A,Yes,,CCOP(OC(C)C)(Oc1cnc(C(C)(C)C)nc1)=O
Tebuthiuron,68695,68695LCM60,ng/L,1,3,9030,34014-18-1,228.3,C9H16N4OS,Pesticide,urea,sulfonylurea & urea,Tebuthiuron,A,No,,CNC(=O)N(C)c1sc(nn1)C(C)(C)C
Tebuthiuron TP 104,68575,68575LCM60,ng/L,3,6,9030,-,214.3,C8H14N4OS,Degradate,urea,sulfonylurea & urea,Tebuthiuron,A,Yes,,NC(N(C)c1nnc(C(C)(C)C)s1)=O
Tebuthiuron TP 106,68714,68714LCM60,ng/L,38,76,9030,-,200.3,C7H12N4OS,Degradate,urea,sulfonylurea & urea,Tebuthiuron,A,Yes,,NC(Nc1nnc(C(C)(C)C)s1)=O
Tebuthiuron TP 108,68696,68696LCM60,ng/L,5,10,9030,39222-73-6,157.2,C6H11N3S,Degradate,urea,sulfonylurea & urea,Tebuthiuron,A,Yes,,CC(C)(C)c1sc(N)nn1
Tebuthiuron TP 109 (OH),68697,68697LCM60,ng/L,8,17,9030,-,260.3,C9H16N4O3S,Degradate,urea,sulfonylurea & urea,Tebuthiuron,A,Yes,,O=C(N(c1nnc(C(C)(C)CO)s1)C)NCO
Terbacil,68698,68698LCM60,ng/L,10,21,9030,5902-51-2,216.7,C9H13ClN2O2,Pesticide,uracil,miscellaneous,Terbacil,A,No,,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
Terbufos,68699,68699LCM60,ng/L,2,4,9030,13071-79-9,288.4,C9H21O2PS3,Pesticide,organothiophosphate,organophosphate,Terbufos,A,No,,CCOP(OCC)(SCSC(C)(C)C)=S
Terbufos oxon,68700,68700LCM60,ng/L,2,4,9030,56070-14-5,272.4,C9H21O3PS2,Degradate,organothiophosphate,organophosphate,Terbufos,A,Yes,,O=P(OCC)(SCSC(C)(C)C)OCC
Terbufos oxon sulfone,68701,68701LCM60,ng/L,5,11,9030,56070-15-6,304.4,C9H21O5PS2,Degradate,organothiophosphate,organophosphate,Terbufos,A,No,,O=P(OCC)(SCS(=O)(C(C)(C)C)=O)OCC
Terbufos oxon sulfoxide,68702,68702LCM60,ng/L,2,4,9030,56165-57-2,288.4,C9H21O4PS2,Degradate,organothiophosphate,organophosphate,Terbufos,A,Yes,,O=P(OCC)(SCS(C(C)(C)C)=O)OCC
